Name,Country,Date,Cloudiness,Humidity,Wind Speed,Max Temp,Latitude,Longitude
Holland,US,1551830475.0,90,72,17.22,19.0,42.79,-86.11
Kahului,US,1551830472.0,75,53,16.11,78.01,20.89,-156.47
Petropavlovsk-Kamchatskiy,RU,1551828600.0,76,51,2.24,14.0,53.05,158.65
Norman Wells,CA,1551826800.0,20,57,8.05,19.4,65.28,-126.83
Rikitea,PF,1551830349.0,76,97,15.12,80.82,-23.12,-134.97
Kodiak,US,1551830524.0,40,28,14.99,21.2,39.95,-94.76
Khasan,RU,1551830604.0,88,100,4.72,33.66,42.43,130.64
Kaitangata,NZ,1551830465.0,0,73,4.0,69.01,-46.28,169.85
Axim,GH,1551830605.0,44,100,8.97,81.9,4.87,-2.24
Luderitz,NA,1551830571.0,0,83,7.74,60.71,-26.65,15.16
Graham,US,1551830606.0,1,69,8.19,43.0,36.07,-79.4
Nanortalik,GL,1551830612.0,80,100,31.68,25.29,60.14,-45.24
Kiama,AU,1551830525.0,0,35,10.29,84.2,-34.67,150.86
Tasiilaq,GL,1551826200.0,20,44,24.16,19.4,65.61,-37.64
Lamar,US,1551830436.0,1,78,11.41,32.0,38.09,-102.62
Bethel,US,1551830160.0,75,93,10.29,35.6,60.79,-161.76
Saldanha,PT,1551830613.0,92,89,16.8,51.71,41.42,-6.55
Marawi,PH,1551830445.0,0,73,4.0,78.01,8.0,124.29
Ponta Delgada,PT,1551830559.0,40,58,8.05,55.4,37.73,-25.67
Vaini,IN,1551830614.0,8,86,1.81,54.36,15.34,74.49
Tsogni,GA,1551830615.0,68,100,1.59,79.25,-2.79,10.1
Baneh,IR,1551826800.0,8,100,5.82,35.6,35.99,45.88
Barrow,AR,1551830615.0,76,30,7.96,70.43,-38.31,-60.23
Yellowknife,CA,1551826800.0,20,61,4.7,15.8,62.45,-114.38
Sulangan,PH,1551830616.0,12,100,17.02,79.74,11.14,123.72
Qandala,SO,1551830616.0,36,100,1.59,68.81,11.47,49.87
Cape Town,ZA,1551830500.0,0,88,6.93,70.0,-33.93,18.42
Ushuaia,AR,1551826800.0,40,75,29.97,42.8,-54.81,-68.31
Punta Arenas,CL,1551830590.0,75,52,6.93,48.2,-53.16,-70.91
Acapulco,MX,1551826140.0,5,74,10.29,82.4,16.86,-99.88
Angoche,MZ,1551830617.0,64,100,12.44,79.29,-16.23,39.91
Cururupu,BR,1551830617.0,48,95,3.15,76.28,-1.82,-44.87
Hilo,US,1551830601.0,90,64,12.75,72.0,19.71,-155.08
Busselton,AU,1551830486.0,48,34,21.27,64.0,-33.64,115.35
Anloga,GH,1551826800.0,20,83,10.29,84.2,5.79,0.9
Upernavik,GL,1551830618.0,24,100,9.98,10.58,72.79,-56.15
Jamestown,AU,1551830569.0,8,84,13.0,57.78,-33.21,138.6
Tabou,CI,1551830619.0,24,94,12.44,84.24,4.42,-7.36
Ilulissat,GL,1551826200.0,20,51,9.17,14.0,69.22,-51.1
Karratha,AU,1551830448.0,0,53,5.17,85.41,-20.74,116.85
Avarua,CK,1551828600.0,76,65,13.87,82.4,-21.21,-159.78
Basco,US,1551830474.0,40,48,13.87,21.0,40.33,-91.2
Villaviciosa,ES,1551830567.0,40,58,2.24,66.0,43.48,-5.43
Geraldton,CA,1551826800.0,75,70,6.93,1.4,49.72,-86.95
Codrington,AU,1551830504.0,0,65,5.82,82.0,-28.95,153.24
Port Elizabeth,US,1551830326.0,1,58,4.7,34.0,39.31,-74.98
Namatanai,PG,1551830445.0,8,94,7.52,84.87,-3.66,152.44
Narsaq,GL,1551826200.0,56,53,4.7,26.6,60.91,-46.05
Lompoc,US,1551830597.0,90,87,17.22,57.2,34.64,-120.46
Oranjemund,ZA,1551830622.0,0,92,11.43,63.27,-28.55,16.43
Atuona,PF,1551830622.0,36,100,16.91,82.08,-9.8,-139.03
Victoria,BN,1551828600.0,75,100,2.24,78.8,5.28,115.24
Bredasdorp,ZA,1551829605.0,0,88,1.12,69.01,-34.53,20.04
Thompson,CA,1551826800.0,75,60,9.17,5.0,55.74,-97.86
Ulaanbaatar,MN,1551828600.0,0,51,2.24,10.4,47.92,106.92
Saint George,GR,1551830613.0,40,87,4.72,54.0,39.45,22.34
Bathsheba,BB,1551826800.0,20,69,18.34,78.8,13.22,-59.52
Chake Chake,TZ,1551830627.0,0,100,11.54,82.98,-5.25,39.77
Kapaa,US,1551829708.0,20,47,19.46,77.0,22.08,-159.32
Souillac,FR,1551830228.0,0,54,16.11,55.0,45.6,-0.6
Panjab,AF,1551830627.0,8,51,2.71,-2.75,34.38,67.02
Cherskiy,RU,1551830627.0,88,75,2.93,0.0,68.75,161.3
Hamilton,BM,1551830100.0,75,88,26.4,71.6,32.3,-64.78
Mataura,NZ,1551830409.0,0,71,5.01,75.0,-46.19,168.86
Georgetown,GY,1551826800.0,20,83,4.7,77.0,6.8,-58.16
Kidero,RU,1551830632.0,0,61,0.92,9.68,42.19,45.96
Kiunga,PG,1551830632.0,24,79,2.93,83.21,-6.12,141.3
Buderim,AU,1551830605.0,92,76,1.01,82.0,-26.69,153.06
Lebu,ET,1551830634.0,0,89,1.81,45.63,8.96,38.73
Winslow,GB,1551830629.0,90,93,13.87,50.0,51.94,-0.88
Bluff,AU,1551830634.0,20,57,10.42,84.83,-23.58,149.07
Sulphur,US,1551830298.0,40,42,8.05,50.0,30.24,-93.38
Beausejour,CA,1551830500.0,75,61,9.17,12.2,50.06,-96.51
Abu Dhabi,AE,1551826800.0,0,87,2.24,60.8,24.47,54.37
Kampene,CD,1551830636.0,36,95,2.26,70.02,-3.59,26.67
Mehamn,NO,1551824940.0,90,92,20.8,21.2,71.03,27.85
Prince Rupert,CA,1551826800.0,1,30,6.93,41.0,54.32,-130.32
Hobart,AU,1551830372.0,75,50,6.93,57.2,-42.88,147.33
Saint-Philippe,CA,1551830637.0,90,78,6.93,17.01,45.36,-73.48
Lebanon,US,1551830616.0,90,48,5.82,21.2,43.64,-72.25
Ucluelet,CA,1551830240.0,5,28,11.41,45.0,48.94,-125.55
Marfino,RU,1551829762.0,90,93,13.42,39.99,56.07,37.56
Touros,BR,1551826800.0,40,88,3.36,78.8,-5.2,-35.46
Santa Fe,AR,1551830307.0,80,79,1.01,75.0,-31.62,-60.7
Lugo,ES,1551830593.0,100,100,18.01,55.99,43.01,-7.56
Surt,LY,1551830392.0,0,100,9.42,52.29,31.21,16.59
Ancud,CL,1551826800.0,90,100,16.11,55.4,-41.87,-73.83
Carnarvon,ZA,1551830643.0,0,41,2.93,58.55,-30.97,22.13
Dickinson,US,1551830481.0,1,57,14.99,17.6,46.88,-102.79
Mar del Plata,AR,1551830609.0,76,54,24.63,61.83,-46.43,-67.52
Kokstad,ZA,1551830553.0,48,94,2.15,58.86,-30.55,29.42
Nouakchott,MR,1551828600.0,0,77,13.87,66.2,18.08,-15.98
Ugoofaaru,MV,1551830645.0,0,99,11.32,82.89,5.67,73.0
Ponta do Sol,BR,1551830646.0,48,85,3.71,71.06,-20.63,-46.0
Fairbanks,US,1551830508.0,75,49,7.74,28.0,64.84,-147.72
Oxford,US,1551830309.0,1,32,8.05,42.8,33.61,-85.83
Salinopolis,BR,1551830646.0,44,100,6.29,79.02,-0.61,-47.36
Husavik,CA,1551830405.0,80,69,4.0,10.99,50.56,-96.99
Broken Hill,AU,1551826800.0,90,67,21.92,62.6,-31.97,141.45
Lao Cai,VN,1551830647.0,92,76,0.92,63.05,22.48,103.95
Surazh,RU,1551830647.0,92,82,24.07,38.66,53.01,32.39
Anadyr,RU,1551830591.0,64,85,6.71,21.2,64.73,177.51
Gawler,AU,1551830583.0,75,48,19.46,64.0,-34.6,138.75
Bobrovytsya,UA,1551830583.0,0,80,13.42,39.99,50.75,31.38
Cairns,AU,1551830416.0,40,70,12.75,87.01,-16.92,145.77
Ciudad Bolivar,VE,1551830425.0,8,42,14.34,87.35,8.12,-63.55
Castro,CL,1551826800.0,90,100,16.11,55.4,-42.48,-73.76
Pevek,RU,1551830649.0,92,95,3.94,6.35,69.7,170.27
Masallatah,LY,1551830650.0,0,77,2.59,38.61,32.62,14.0
Umm Lajj,SA,1551830650.0,0,100,11.32,58.46,25.02,37.27
Port Alfred,ZA,1551830225.0,12,92,5.01,69.01,-33.59,26.89
Guerrero Negro,MX,1551830556.0,68,56,6.73,69.57,27.97,-114.04
Solnechnyy,RU,1551830650.0,56,69,3.71,16.83,50.72,136.64
Sivas,TR,1551826200.0,75,81,5.82,32.0,39.75,37.01
Marsa Matruh,EG,1551826800.0,0,87,3.36,50.0,31.35,27.25
Mildura,AU,1551830489.0,56,48,12.75,63.0,-34.18,142.16
Talnakh,RU,1551830567.0,76,79,12.77,9.81,69.49,88.39
Hermanus,ZA,1551830564.0,0,80,10.0,69.01,-34.42,19.24
Kloulklubed,PW,1551829800.0,75,74,14.99,82.4,7.04,134.26
Grong,NO,1551830653.0,0,70,3.15,-7.16,64.47,12.32
Umm Kaddadah,SD,1551830657.0,0,22,13.0,68.94,13.6,26.69
Dordrecht,NL,1551830648.0,75,93,10.29,46.99,51.8,4.68
Cidreira,BR,1551830658.0,76,83,3.71,75.96,-30.17,-50.22
Doha,QA,1551826800.0,0,63,8.05,64.4,25.29,51.53
Ahipara,NZ,1551830556.0,0,68,0.36,72.68,-35.17,173.16
Tuktoyaktuk,CA,1551826800.0,20,78,6.93,8.6,69.44,-133.03
Ishinomaki,JP,1551826800.0,75,75,18.25,41.0,38.42,141.3
Cayenne,GF,1551828600.0,92,88,1.12,77.0,4.94,-52.33
Nhlangano,SZ,1551830665.0,92,97,2.37,66.33,-27.11,31.2
Sabang,PH,1551830665.0,92,95,4.94,77.31,13.72,123.58
Airai,TL,1551830665.0,48,86,0.47,75.06,-8.93,125.41
Amarante do Maranhao,BR,1551830666.0,88,92,3.83,74.7,-5.57,-46.74
Port Macquarie,AU,1551830645.0,12,65,4.7,87.01,-31.43,152.91
Rome,IT,1551830409.0,0,81,4.7,50.0,41.89,12.48
Udachnyy,RU,1551830667.0,48,81,5.61,20.43,66.42,112.4
San Cristobal,EC,1551830512.0,75,82,8.05,64.4,-0.39,-78.55
Leningradskiy,RU,1551830669.0,88,98,15.01,10.71,69.38,178.42
Lahaina,US,1551830472.0,75,57,17.22,78.01,20.87,-156.68
Ebeltoft,DK,1551830475.0,12,100,4.7,37.4,56.2,10.68
Khani,GE,1551828600.0,0,82,4.7,41.0,41.96,42.96
Kathu,ZA,1551830474.0,0,35,2.93,68.0,-27.7,23.05
Ko Samui,TH,1551828600.0,20,94,2.93,77.0,9.54,99.94
Agirish,RU,1551830672.0,48,77,7.74,4.32,61.92,63.02
Lima,PE,1551830405.0,0,69,8.05,77.0,-12.06,-77.04
Lorengau,PG,1551830388.0,20,99,3.83,83.34,-2.02,147.27
Ribeira Grande,PT,1551830673.0,0,100,15.68,58.23,38.52,-28.7
Port Lincoln,AU,1551830674.0,68,90,15.01,63.18,-34.72,135.86
Lhokseumawe,ID,1551830674.0,80,100,3.27,82.17,5.18,97.15
Khatanga,RU,1551830674.0,80,73,7.74,-3.11,71.98,102.47
Kavkazskaya,RU,1551830417.0,56,61,14.23,46.0,45.45,40.67
Nikolskoye,RU,1551830434.0,20,78,15.66,15.01,59.7,30.79
Vila Praia de Ancora,PT,1551830533.0,75,100,17.22,57.99,41.81,-8.85
Bilibino,RU,1551830675.0,92,74,3.15,-0.9,68.06,166.44
Crotone,IT,1551830675.0,48,97,6.62,58.23,39.09,17.12
Port-Cartier,CA,1551826800.0,20,46,12.75,10.4,50.03,-66.88
Cobija,BR,1551826800.0,75,94,3.36,77.0,-11.02,-68.77
Fortuna,ES,1551830622.0,75,93,3.36,57.2,38.18,-1.13
Banda Aceh,ID,1551830676.0,20,100,2.37,71.64,5.56,95.32
Taunggyi,MM,1551830676.0,12,82,4.5,59.36,20.78,97.03
Qaanaaq,GL,1551830677.0,36,82,5.17,-9.5,77.48,-69.36
Phalombe,MW,1551830677.0,100,97,9.75,68.22,-15.81,35.65
Kovacica,RS,1551830346.0,0,80,2.24,48.2,45.11,20.62
Bambous Virieux,MU,1551830345.0,20,74,3.36,80.6,-20.34,57.76
Chokurdakh,RU,1551830677.0,20,35,3.04,-23.85,70.62,147.9
Mumbwa,ZM,1551830678.0,8,64,4.94,70.16,-14.99,27.06
Morros,BR,1551826800.0,40,94,8.05,77.0,-2.87,-44.04
Sioux Lookout,CA,1551826800.0,40,50,8.05,5.0,50.1,-91.92
Dakoro,NE,1551830678.0,0,64,2.59,67.1,14.51,6.76
Portland,US,1551830310.0,75,38,14.99,46.99,45.52,-122.67
Provideniya,RU,1551828600.0,0,68,11.18,28.4,64.42,-173.23
Saskylakh,RU,1551830679.0,64,60,8.41,-7.56,71.97,114.09
Alofi,NU,1551826800.0,40,62,18.34,84.2,-19.06,-169.92
Hovd,NO,1551830415.0,0,72,11.41,21.99,63.83,10.7
Lagoa,PT,1551830492.0,40,82,13.87,60.8,37.14,-8.45
Berlevag,NO,1551830681.0,44,100,6.4,15.8,70.86,29.09
Tongzi,CN,1551830681.0,88,92,2.71,49.01,28.78,105.09
Atar,MR,1551830393.0,0,25,5.06,55.58,20.52,-13.05
Butaritari,KI,1551829946.0,92,100,2.04,74.48,3.07,172.79
Pandan,PH,1551830681.0,36,98,18.7,79.83,11.72,122.09
Dikson,RU,1551830681.0,76,100,13.56,10.13,73.51,80.55
Faanui,PF,1551830681.0,80,100,5.73,84.33,-16.48,-151.75
Reconquista,AR,1551830682.0,0,91,5.95,71.06,-29.14,-59.64
Novaya Igirma,RU,1551830682.0,0,82,7.07,23.85,57.14,103.93
Salalah,OM,1551826200.0,0,60,1.12,75.2,17.01,54.1
Alyangula,AU,1551826800.0,32,79,4.7,84.2,-13.85,136.42
East London,ZA,1551830504.0,20,100,22.62,75.42,-33.02,27.91
Albany,US,1551830608.0,90,48,5.82,26.01,42.65,-73.75
Esperance,TT,1551830499.0,20,83,8.05,78.01,10.24,-61.45
Aromashevo,RU,1551830686.0,0,68,7.63,4.91,56.86,68.64
Chuy,UY,1551830686.0,0,94,8.41,68.04,-33.69,-53.46
Batagay,RU,1551830687.0,48,54,2.93,-19.35,67.65,134.64
Port-Gentil,GA,1551826800.0,20,83,12.75,84.2,-0.72,8.78
Arraial do Cabo,BR,1551830687.0,64,92,13.67,80.64,-22.97,-42.02
Birjand,IR,1551826800.0,0,80,4.7,33.8,32.86,59.22
Brae,GB,1551829800.0,44,60,12.75,39.2,60.4,-1.35
Santa Cruz,US,1551830594.0,75,71,14.99,59.0,36.97,-122.03
Deputatskiy,RU,1551830693.0,8,47,2.71,-30.51,69.3,139.9
Port Hardy,CA,1551826800.0,20,41,4.7,39.2,50.7,-127.42
Darnah,LY,1551830694.0,0,100,14.67,60.12,32.77,22.64
Hithadhoo,MV,1551830457.0,92,100,6.73,81.68,-0.6,73.08
Caravelas,BR,1551830700.0,80,100,12.1,83.79,-17.73,-39.27
Blenheim,NZ,1551830562.0,0,49,7.18,81.0,-41.52,173.96
North Bend,US,1551830499.0,90,65,4.94,46.4,43.41,-124.22
Newport,GB,1551830703.0,92,93,21.92,48.99,51.59,-3.0
Jizan,SA,1551826800.0,40,65,4.7,78.8,16.89,42.56
Kawalu,ID,1551830619.0,64,92,2.93,66.65,-7.38,108.21
Vila Franca do Campo,PT,1551830677.0,40,58,8.05,55.4,37.72,-25.43
Klaksvik,FO,1551829800.0,44,98,2.24,35.6,62.23,-6.59
Saint Anthony,US,1551830483.0,90,40,8.05,34.0,43.97,-111.68
Te Anau,NZ,1551830710.0,12,51,11.65,68.22,-45.41,167.72
Kulhudhuffushi,MV,1551830711.0,24,100,11.54,82.44,6.62,73.07
San Angelo,US,1551830504.0,1,33,10.29,48.0,31.46,-100.44
Ola,RU,1551830722.0,0,100,8.08,4.73,59.58,151.3
New Norfolk,AU,1551830372.0,75,50,8.05,57.2,-42.78,147.06
Hearst,CA,1551830724.0,56,63,7.18,6.3,49.69,-83.67
Harper,US,1551830715.0,1,38,8.05,46.4,30.3,-99.24
Coahuayana,MX,1551830547.0,0,27,2.82,86.31,18.62,-100.35
Huilong,CN,1551830726.0,76,92,2.26,41.4,28.89,110.18
Kalmar,SE,1551830404.0,56,100,3.36,30.0,56.66,16.36
Sitka,US,1551830496.0,0,48,3.0,28.99,37.17,-99.65
Aqtobe,KZ,1551828600.0,90,92,13.42,30.2,50.28,57.21
Shangzhi,CN,1551830729.0,0,50,6.06,27.41,45.21,127.96
Raton,US,1551830609.0,1,68,4.7,35.6,36.9,-104.44
Wajima,JP,1551826800.0,75,65,1.12,46.4,37.4,136.9
Broome,GB,1551830714.0,92,100,11.41,48.99,52.47,1.45
Vagur,FO,1551830731.0,56,100,18.7,43.43,61.47,-6.81
Hasaki,JP,1551828600.0,75,76,3.36,50.0,35.73,140.83
Vostok,RU,1551830731.0,0,71,3.15,23.22,46.45,135.83
Mayumba,GA,1551830731.0,92,100,3.04,78.53,-3.44,10.65
Port Augusta,AU,1551830386.0,75,42,19.46,68.0,-32.49,137.76
Novoseleznevo,RU,1551830732.0,0,61,3.94,-2.79,55.68,69.21
Leh,IN,1551830732.0,64,73,1.81,-7.74,34.16,77.58
Tigil,RU,1551830732.0,12,82,4.83,9.27,57.8,158.67
Grand Gaube,MU,1551830645.0,20,74,3.36,80.6,-20.01,57.66
Finschhafen,PG,1551830733.0,92,100,2.93,73.17,-6.6,147.85
Balabac,PH,1551830733.0,0,98,13.78,81.18,7.99,117.06
Hofn,IS,1551830733.0,12,100,8.41,29.88,64.25,-15.21
Shingu,JP,1551826800.0,75,57,9.17,51.8,33.72,135.99
Port Pirie,AU,1551826800.0,75,42,19.46,68.0,-33.18,138.01
Dunedin,NZ,1551830308.0,0,40,7.0,75.99,-45.87,170.5
Aden,YE,1551830668.0,76,100,4.61,78.3,12.79,45.03
Havre-Saint-Pierre,CA,1551828180.0,90,67,19.46,17.6,50.23,-63.6
Namibe,AO,1551830548.0,36,100,0.69,78.26,-15.19,12.15
Dukat,RS,1551830587.0,0,85,1.01,44.01,42.44,22.31
Severo-Kurilsk,RU,1551830735.0,36,100,15.01,23.67,50.68,156.12
Biri,NO,1551830611.0,88,90,1.99,21.0,60.95,10.61
Rawson,AR,1551830735.0,24,30,8.41,66.65,-43.3,-65.11
Fukagawa,JP,1551826800.0,75,74,14.99,33.8,43.72,142.05
Cockburn Town,TC,1551830739.0,8,97,11.77,78.08,21.46,-71.14
Keskin,TR,1551830210.0,0,60,1.99,43.0,39.67,33.62
Isangel,VU,1551826800.0,75,70,8.05,87.8,-19.55,169.27
Byron Bay,AU,1551830504.0,0,69,11.41,84.99,-28.65,153.62
Lasa,CY,1551830435.0,0,87,6.93,50.0,34.92,32.53
Thinadhoo,MV,1551830741.0,92,100,8.41,82.26,0.53,72.93
Lexington,US,1551830647.0,90,53,14.99,28.4,38.05,-84.5
Itarema,BR,1551830742.0,12,95,4.72,76.73,-2.92,-39.92
Aklavik,CA,1551826800.0,5,61,4.7,17.6,68.22,-135.01
Soyo,AO,1551830742.0,76,98,4.61,72.95,-6.13,12.37
College,US,1551830153.0,75,49,7.74,28.0,64.86,-147.8
Pascagoula,US,1551830425.0,1,39,9.17,53.6,30.37,-88.56
Burla,RU,1551830743.0,68,91,10.09,21.2,53.34,78.33
Plettenberg Bay,ZA,1551830743.0,0,95,5.06,67.59,-34.05,23.37
Siniscola,IT,1551828000.0,0,93,1.12,46.4,40.57,9.69
Rocha,UY,1551830666.0,0,75,6.62,63.63,-34.48,-54.34
Tiksi,RU,1551830744.0,48,72,9.75,3.2,71.64,128.87
Kungurtug,RU,1551830634.0,20,52,2.37,-0.23,50.6,97.53
Pisco,PE,1551826800.0,40,30,23.04,71.6,-13.71,-76.2
Abu Samrah,SY,1551830577.0,92,98,4.83,48.83,35.3,37.18
Torbay,CA,1551830506.0,90,73,21.92,28.0,47.66,-52.73
Kargasok,RU,1551830564.0,64,73,5.73,18.95,59.06,80.87
Necochea,AR,1551830516.0,80,61,5.06,68.0,-38.55,-58.74
Totolapan,MX,1551830585.0,90,52,16.11,89.6,18.99,-98.92
Cam Ranh,VN,1551828600.0,20,88,2.24,75.2,11.92,109.15
Meulaboh,ID,1551830563.0,8,100,5.17,78.84,4.14,96.13
Mogocha,RU,1551830747.0,0,61,3.04,8.06,53.73,119.76
Lixourion,GR,1551830641.0,0,73,1.01,54.0,38.2,20.43
Terebovlya,UA,1551830505.0,0,67,3.0,39.99,49.3,25.71
Omboue,GA,1551830750.0,80,100,3.15,79.47,-1.57,9.26
Yekaterinovka,RU,1551830751.0,76,83,13.89,41.58,46.69,38.75
Ouadda,CF,1551830752.0,12,47,11.43,72.09,8.07,22.4
Waynesboro,US,1551830713.0,1,34,9.17,36.0,35.32,-87.76
Novo Aripuana,BR,1551830730.0,48,81,1.92,81.41,-5.12,-60.38
Belyy Yar,RU,1551828600.0,32,53,2.82,26.6,53.6,91.39
Maryville,US,1551830716.0,40,28,14.99,21.2,40.35,-94.87
